ronda,tiempo_total_local,timestamp
1,96.50081610679626,1773332599.1721382
2,85.07586240768433,1773332691.2934175
3,85.44034743309021,1773332783.2274315
4,87.48543119430542,1773332877.2115324
5,86.96547150611877,1773332972.408134
6,83.0138578414917,1773333062.3034406
7,86.65600848197937,1773333156.172102
8,89.30143690109253,1773333251.2238946
9,89.52182912826538,1773333346.9549925
10,100.32652544975281,1773333455.7095737
11,84.34495520591736,1773333546.1196194
12,84.4537603855133,1773333636.2859306
13,84.58331346511841,1773333726.4048681
14,89.32433485984802,1773333821.4248638
15,81.9383008480072,1773333909.4421904
16,84.77749371528625,1773334000.0977361
17,84.771066904068,1773334090.72176
18,84.68202757835388,1773334181.3152874
19,82.50936961174011,1773334269.8434162
20,75.66416192054749,1773334351.5300376
21,75.24632501602173,1773334433.028445
22,74.66962265968323,1773334513.2314656
23,73.98841643333435,1773334593.601572
24,74.24444580078125,1773334673.5584428
25,73.5386552810669,1773334752.7486298
26,72.82707500457764,1773334831.757122
27,75.70046615600586,1773334912.9606285
28,76.57905602455139,1773334996.7988167
29,75.29744100570679,1773335077.621668
30,76.7781229019165,1773335159.9938443
