ronda,tiempo_agregacion_seg,timestamp
1,0.010042190551757812,1773941914.1835222
2,0.0053484439849853516,1773941987.611944
3,0.0031397342681884766,1773942060.1588185
4,0.004471778869628906,1773942134.4630148
5,0.004726886749267578,1773942209.4205773
6,0.004266262054443359,1773942282.8953254
7,0.004238605499267578,1773942357.6939378
8,0.005886077880859375,1773942431.5830164
9,0.004233837127685547,1773942505.4069736
10,0.0038976669311523438,1773942580.5986307
11,0.003911733627319336,1773942656.1179764
12,0.004037618637084961,1773942731.81813
13,0.004189491271972656,1773942806.9858084
14,0.003941774368286133,1773942881.8047996
15,0.004118204116821289,1773942955.5314908
16,0.004092693328857422,1773943028.8428748
17,0.003926277160644531,1773943104.2711992
18,0.004162788391113281,1773943179.3725026
19,0.003951549530029297,1773943252.448445
20,0.0038945674896240234,1773943327.3082128
21,0.004096508026123047,1773943402.1255367
22,0.00392603874206543,1773943476.8517973
23,0.003814220428466797,1773943551.7344468
24,0.0038259029388427734,1773943626.5420194
25,0.0040280818939208984,1773943701.4944227
26,0.004174709320068359,1773943776.7105114
27,0.003999233245849609,1773943851.03429
28,0.0038340091705322266,1773943926.9493053
29,0.0037915706634521484,1773944002.220533
30,0.00459599494934082,1773944077.1782522
